exact_core_row_id,pair_id,parasite_label,human_label,compound_key,molecule_chembl_id,canonical_smiles,standard_inchi_key,murcko_scaffold,selectivity_ratio_human_div_parasite,log10_selectivity_ratio,is_selective,selectivity_threshold,label_status,is_trainable_exact_core,exact_evidence_count,ratio_min_human_div_parasite,ratio_median_human_div_parasite,ratio_max_human_div_parasite,log10_ratio_min,log10_ratio_median,log10_ratio_max,n_unique_ratio_values,n_positive_exact_observations,n_negative_exact_observations,parasite_standard_types,human_standard_types,parasite_assay_types,human_assay_types,parasite_activity_chembl_ids,human_activity_chembl_ids,parasite_assay_chembl_ids,human_assay_chembl_ids,parasite_document_chembl_ids,human_document_chembl_ids,n_parasite_documents,n_human_documents
SmHDAC8::CWISRDFYKNBKMA-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),CWISRDFYKNBKMA-UHFFFAOYSA-N,CHEMBL3799246,CCOc1ccc(C(=O)NO)cc1NC(=O)c1ccc(-c2ccccc2)cc1,CWISRDFYKNBKMA-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccc(-c2ccccc2)cc1,1.6233779236252432,0.21041963568496846,0,10.0,exact_core_consistent,1,2,1.6163043478260868,1.6233779236252432,1.6304824561403508,0.2085231411763989,0.21041963568496846,0.212316130193538,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::DFZIVCDTMKHRDI-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),DFZIVCDTMKHRDI-UHFFFAOYSA-N,CHEMBL3799265,COc1ccc(C(=O)NO)cc1NC(=O)Cc1ccccc1,DFZIVCDTMKHRDI-UHFFFAOYSA-N,O=C(Cc1ccccc1)Nc1ccccc1,2.8091207187755463,0.44857040291519845,0,10.0,exact_core_consistent,1,2,2.803503010399562,2.8091207187755463,2.8147496840138486,0.4477010267798731,0.44857040291519845,0.4494397790505238,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::DKTRHHBNSNEPKV-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),DKTRHHBNSNEPKV-UHFFFAOYSA-N,CHEMBL3798028,CCOc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1,DKTRHHBNSNEPKV-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,1.3288415971946854,0.1234732145286461,0,10.0,exact_core_consistent,1,2,1.3263727764887856,1.3288415971946854,1.3313150131967086,0.1226655994983952,0.1234732145286461,0.124280829558897,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::DORPIZJGSLWDIY-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),DORPIZJGSLWDIY-UHFFFAOYSA-N,CHEMBL2178342,O=C(NO)c1cccc(-c2cn(CSc3ccccc3)nn2)c1,DORPIZJGSLWDIY-UHFFFAOYSA-N,c1ccc(SCn2cc(-c3ccccc3)nn2)cc1,0.7337526205450733,-0.13445033468983833,0,10.0,exact_core_consistent,1,5,0.4612159329140461,0.7337526205450733,7.819706498951781,-0.3360956982179077,-0.13445033468983833,0.8931904527685737,4,0,5,IC50,IC50,B,B,,,CHEMBL4158657,CHEMBL4158658;CHEMBL4158667;CHEMBL4158668;CHEMBL5626093;CHEMBL5626105,CHEMBL4152383,CHEMBL4152383;CHEMBL5625174,1,2
SmHDAC8::DSWXYOCCSDFQSQ-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),DSWXYOCCSDFQSQ-UHFFFAOYSA-N,CHEMBL3797442,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Cl)cc1Cl,DSWXYOCCSDFQSQ-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,4.534663182564441,0.656545034861159,0,10.0,exact_core_consistent,1,2,4.509046052631579,4.534663182564441,4.5604258504532975,0.6540846709467648,0.656545034861159,0.6590053987755531,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::FPOHNWQLNRZRFC-ZHACJKMWSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),FPOHNWQLNRZRFC-ZHACJKMWSA-N,CHEMBL483254,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,FPOHNWQLNRZRFC-ZHACJKMWSA-N,c1ccc(CNCCc2c[nH]c3ccccc23)cc1,0.5621255955613346,-0.2501666392970473,0,10.0,exact_core_consistent,1,16,0.0108,0.5621255955613346,4.142222222222222,-1.9665762445130504,-0.2501666392970473,0.6172333942426189,13,0,16,IC50,IC50,B,B,,,CHEMBL4014727,CHEMBL3538489;CHEMBL3778477;CHEMBL3828939;CHEMBL3829034;CHEMBL3998873;CHEMBL4322383;CHEMBL4339274;CHEMBL4346130;CHEMBL4357504;CHEMBL5043902;CHEMBL5138342;CHEMBL5226425;CHEMBL5524164;CHEMBL5550839;CHEMBL5626086;CHEMBL5735574,CHEMBL4014283,CHEMBL3526051;CHEMBL3774354;CHEMBL3826921;CHEMBL3826926;CHEMBL3997794;CHEMBL4321798;CHEMBL4339181;CHEMBL4342521;CHEMBL4354838;CHEMBL5042504;CHEMBL5136998;CHEMBL5226279;CHEMBL5523684;CHEMBL5550109;CHEMBL5625174;CHEMBL5727872,1,16
SmHDAC8::FRUVCGVXUWSDQY-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),FRUVCGVXUWSDQY-UHFFFAOYSA-N,CHEMBL4160522,O=C(NO)c1ccc(Cl)c(NC(=O)c2cccc3ccsc23)c1,FRUVCGVXUWSDQY-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cccc2ccsc12,1.597938144329897,0.20355996390404665,0,10.0,exact_core_consistent,1,1,1.597938144329897,1.597938144329897,1.597938144329897,0.20355996390404665,0.20355996390404665,0.20355996390404665,1,0,1,IC50,IC50,B,B,,,CHEMBL4158657,CHEMBL4158658,CHEMBL4152383,CHEMBL4152383,1,1
SmHDAC8::GIAXUWZVCYGXKO-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),GIAXUWZVCYGXKO-UHFFFAOYSA-N,CHEMBL3800287,CC1Sc2ccc(C(=O)NO)cc2NC1=O,GIAXUWZVCYGXKO-UHFFFAOYSA-N,O=C1CSc2ccccc2N1,0.6554054054054054,-0.18348998112871256,0,10.0,exact_core_consistent,1,2,0.6554054054054054,0.6554054054054054,0.6554054054054054,-0.18348998112871256,-0.18348998112871256,-0.18348998112871256,1,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4811326,CHEMBL3803862,CHEMBL3797085;CHEMBL4811216,CHEMBL3797085,2,1
SmHDAC8::GOVYBPLHWIEHEJ-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),GOVYBPLHWIEHEJ-UHFFFAOYSA-N,CHEMBL2018302,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,GOVYBPLHWIEHEJ-UHFFFAOYSA-N,c1ccc(Cn2c3c(c4ccccc42)CNCC3)cc1,0.5773742318015563,-0.23854260257534626,0,10.0,exact_core_consistent,1,31,0.2231071387523578,0.5773742318015563,1.865986978656084,-0.6514865333864639,-0.23854260257534626,0.2709086088008665,15,0,31,IC50,IC50,B,B,,,CHEMBL4014727,CHEMBL2340965;CHEMBL2424312;CHEMBL2427138;CHEMBL2432120;CHEMBL3384066;CHEMBL3388106;CHEMBL3707596;CHEMBL3772324;CHEMBL3879716;CHEMBL4035208;CHEMBL4141510;CHEMBL4252385;CHEMBL4322383;CHEMBL4370373;CHEMBL4771489;CHEMBL4842878;CHEMBL4842907;CHEMBL4845107;CHEMBL5096820;CHEMBL5099597;CHEMBL5138144;CHEMBL5138329;CHEMBL5225558;CHEMBL5226458;CHEMBL5230274;CHEMBL5253344;CHEMBL5344772;CHEMBL5524164;CHEMBL5581881;CHEMBL5734509;CHEMBL5737692,CHEMBL4014283,CHEMBL2331470;CHEMBL2417402;CHEMBL2424579;CHEMBL2429834;CHEMBL3351349;CHEMBL3352592;CHEMBL3639018;CHEMBL3769398;CHEMBL3877334;CHEMBL4033665;CHEMBL4138147;CHEMBL4251567;CHEMBL4321798;CHEMBL4368915;CHEMBL4765362;CHEMBL4842326;CHEMBL4842385;CHEMBL5096156;CHEMBL5096224;CHEMBL5136990;CHEMBL5136998;CHEMBL5223156;CHEMBL5226279;CHEMBL5230083;CHEMBL5252522;CHEMBL5344407;CHEMBL5523684;CHEMBL5579854;CHEMBL5727365;CHEMBL5728890,1,30
SmHDAC8::HFIJSVHGZTZLHT-CMDGGOBGSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),HFIJSVHGZTZLHT-CMDGGOBGSA-N,CHEMBL4868142,O=C(/C=C/c1ccccc1Oc1c(Cl)cccc1Cl)NO,HFIJSVHGZTZLHT-CMDGGOBGSA-N,c1ccc(Oc2ccccc2)cc1,1.068181818181818,0.02864518144952992,0,10.0,exact_core_consistent,1,1,1.068181818181818,1.068181818181818,1.068181818181818,0.02864518144952992,0.02864518144952992,0.02864518144952992,1,0,1,IC50,IC50,B,B,,,CHEMBL4811364,CHEMBL4811367,CHEMBL4811216,CHEMBL4811216,1,1
SmHDAC8::HRXULFWGEYSULN-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),HRXULFWGEYSULN-UHFFFAOYSA-N,CHEMBL2094337,O=C(NO)c1sc2ccccc2c1Cl,HRXULFWGEYSULN-UHFFFAOYSA-N,c1ccc2sccc2c1,0.7155292346472952,-0.14537261740857182,0,10.0,exact_core_consistent,1,2,0.710168699429116,0.7155292346472952,0.7209302325581395,-0.14863847307182976,-0.14537261740857182,-0.14210676174531386,2,0,2,IC50,IC50,B,B,,,CHEMBL4014727;CHEMBL4185210,CHEMBL4185211,CHEMBL4014283;CHEMBL4184137,CHEMBL4184137,2,1
SmHDAC8::HVDKZEVLVRMKJV-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),HVDKZEVLVRMKJV-UHFFFAOYSA-N,CHEMBL3798027,O=C(NO)c1ccc(Cl)c(NC(=O)c2cccc(Oc3ccccc3)c2)c1,HVDKZEVLVRMKJV-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cccc(Oc2ccccc2)c1,1.1292520900199168,0.052790903026459925,0,10.0,exact_core_consistent,1,2,1.1268242445555248,1.1292520900199168,1.1316851664984866,0.051856182619208546,0.052790903026459925,0.0537256234337113,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::IBKKTRVUMQNSHW-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),IBKKTRVUMQNSHW-UHFFFAOYSA-N,CHEMBL4870162,CCOc1ccc(C(C)=O)cc1NC(=O)c1cc(C(=O)NO)ccc1Cl,IBKKTRVUMQNSHW-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,1.5714285714285714,0.1962946451439682,0,10.0,exact_core_consistent,1,1,1.5714285714285714,1.5714285714285714,1.5714285714285714,0.1962946451439682,0.1962946451439682,0.1962946451439682,1,0,1,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
SmHDAC8::ICMLRCZXRBTKLJ-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),ICMLRCZXRBTKLJ-UHFFFAOYSA-N,CHEMBL178727,O=C(CS)NCCCCCC(=O)Nc1ccccc1,ICMLRCZXRBTKLJ-UHFFFAOYSA-N,c1ccccc1,0.0776157092599332,-1.1100503695352035,0,10.0,exact_core_consistent,1,1,0.0776157092599332,0.0776157092599332,0.0776157092599332,-1.1100503695352035,-1.1100503695352035,-1.1100503695352035,1,0,1,IC50,IC50,B,B,,,CHEMBL4014727,CHEMBL946993,CHEMBL4014283,CHEMBL1142268,1,1
SmHDAC8::IGVRDNCZCPXENL-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),IGVRDNCZCPXENL-UHFFFAOYSA-N,CHEMBL3797516,COc1ccc(C(=O)NO)cc1OCc1ccccc1,IGVRDNCZCPXENL-UHFFFAOYSA-N,c1ccc(COc2ccccc2)cc1,0.09454841520601534,-1.024345746280081,0,10.0,exact_core_consistent,1,4,0.0887980679918261,0.09454841520601534,0.1006711409395973,-1.0515964832035691,-1.024345746280081,-0.9970950093565929,4,0,4,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862;CHEMBL4027180,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085;CHEMBL4024766,2,2
SmHDAC8::IHRMVRSHVCKOFW-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),IHRMVRSHVCKOFW-UHFFFAOYSA-N,CHEMBL3798613,O=C1CCSc2ccc(C(=O)NO)cc2N1,IHRMVRSHVCKOFW-UHFFFAOYSA-N,O=C1CCSc2ccccc2N1,0.5060711236189235,-0.2957884427954252,0,10.0,exact_core_consistent,1,2,0.5039544165101969,0.5060711236189235,0.5081967213114754,-0.2976087444143561,-0.2957884427954252,-0.29396814117649434,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::IXVQMXXRQZSYJR-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),IXVQMXXRQZSYJR-UHFFFAOYSA-N,CHEMBL4849600,O=C(NO)c1ccc(Cl)c(NC(=O)c2ccc(-c3ccccc3)cc2Cl)c1,IXVQMXXRQZSYJR-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccc(-c2ccccc2)cc1,7.09090909090909,0.8507019175322553,0,10.0,exact_core_consistent,1,1,7.090909090909091,7.09090909090909,7.090909090909091,0.8507019175322553,0.8507019175322553,0.8507019175322553,1,0,1,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
SmHDAC8::JAYJCKDEPAKXQN-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),JAYJCKDEPAKXQN-UHFFFAOYSA-N,CHEMBL4867041,CCOc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Cl)cc1Cl,JAYJCKDEPAKXQN-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,2.3,0.36172783601759284,0,10.0,exact_core_consistent,1,1,2.3,2.3,2.3,0.36172783601759284,0.36172783601759284,0.36172783601759284,1,0,1,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
SmHDAC8::JDZUEQCULNQRQU-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),JDZUEQCULNQRQU-UHFFFAOYSA-N,CHEMBL3800057,CC(C)Oc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1,JDZUEQCULNQRQU-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,0.13215517302132168,-0.8789158323760546,0,10.0,exact_core_consistent,1,2,0.1317582916855974,0.13215517302132168,0.1325532498400219,-0.880222044654392,-0.8789158323760546,-0.8776096200977171,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::JFWNERIMAUEHNN-MRXNPFEDSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),JFWNERIMAUEHNN-MRXNPFEDSA-N,CHEMBL1812335,N[C@H](Cc1ccc(Cl)cc1Cl)C(=O)N1Cc2ccccc2C1,JFWNERIMAUEHNN-MRXNPFEDSA-N,O=C(CCc1ccccc1)N1Cc2ccccc2C1,0.0030938466827088004,-2.509501211807739,0,10.0,exact_core_consistent,1,4,0.0030938466827088,0.0030938466827088004,0.0374699209350292,-2.509501211807739,-2.509501211807739,-1.4263172233064358,2,0,4,IC50,IC50,B,B,,,CHEMBL4014727,CHEMBL1816689;CHEMBL3998873;CHEMBL4434238;CHEMBL5626093,CHEMBL4014283,CHEMBL1811912;CHEMBL3997794;CHEMBL4433239;CHEMBL5625174,1,4
SmHDAC8::JTDYUFSDZATMKU-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),JTDYUFSDZATMKU-UHFFFAOYSA-N,CHEMBL96051,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,JTDYUFSDZATMKU-UHFFFAOYSA-N,O=C1NC(=O)c2cccc3cccc1c23,0.5649717514124294,-0.2479732663618066,0,10.0,exact_core_consistent,1,3,0.0084745762711864,0.5649717514124294,0.8587570621468926,-2.0718820073061273,-0.2479732663618066,-0.0661296784170341,3,0,3,IC50,IC50,B,B,,,CHEMBL4014727,CHEMBL4322383;CHEMBL4329361;CHEMBL5626108,CHEMBL4014283,CHEMBL4321798;CHEMBL4325904;CHEMBL5625174,1,3
SmHDAC8::KNERULXWBNHIGT-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),KNERULXWBNHIGT-UHFFFAOYSA-N,CHEMBL4095643,COc1ccc(C(=O)NO)cc1C(=O)Nc1ccc(Cl)cc1,KNERULXWBNHIGT-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,0.12576508832011563,-0.9004398998618866,0,10.0,exact_core_consistent,1,2,0.1225806451612903,0.12576508832011563,0.1290322580645161,-0.9115780972174626,-0.9004398998618866,-0.8893017025063104,2,0,2,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4027180;CHEMBL4843955,CHEMBL4842354,CHEMBL4024766;CHEMBL4842354,1,2
SmHDAC8::KVRSVMKECKEIPI-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),KVRSVMKECKEIPI-UHFFFAOYSA-N,CHEMBL4853828,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc2[nH]c3c(c2c1)CN(C)CC3.Cl,KVRSVMKECKEIPI-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccc2[nH]c3c(c2c1)CNCC3,1.45,0.16136800223497488,0,10.0,exact_core_consistent,1,1,1.45,1.45,1.45,0.16136800223497488,0.16136800223497488,0.16136800223497488,1,0,1,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
SmHDAC8::KZDIIWXOZJOZET-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),KZDIIWXOZJOZET-UHFFFAOYSA-N,CHEMBL3798892,CCOc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2OC)cc1,KZDIIWXOZJOZET-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,1.4444986966549787,0.15971715432434444,0,10.0,exact_core_consistent,1,2,1.4373770491803275,1.4444986966549787,1.4516556291390728,0.15757070612952678,0.15971715432434444,0.1618636025191621,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::LJYNCXNVPFKCRG-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),LJYNCXNVPFKCRG-UHFFFAOYSA-N,CHEMBL4869895,COc1ccc(C(=O)NO)cc1NCc1cccc2c1oc1ccccc12,LJYNCXNVPFKCRG-UHFFFAOYSA-N,c1ccc(NCc2cccc3c2oc2ccccc23)cc1,1.9111111111111112,0.28128593746822406,0,10.0,exact_core_consistent,1,1,1.9111111111111112,1.9111111111111112,1.9111111111111112,0.28128593746822406,0.28128593746822406,0.28128593746822406,1,0,1,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
SmHDAC8::LLAPOEIECXFUIX-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),LLAPOEIECXFUIX-UHFFFAOYSA-N,CHEMBL4846377,CN1CCN(NC(=O)c2cccc(C(=O)NO)c2)CC1,LLAPOEIECXFUIX-UHFFFAOYSA-N,O=C(NN1CCNCC1)c1ccccc1,1.7466666666666666,0.2422100322640642,0,10.0,exact_core_consistent,1,2,1.7466666666666666,1.7466666666666666,1.7466666666666666,0.2422100322640642,0.2422100322640642,0.2422100322640642,1,0,2,IC50,IC50,B,B,,,CHEMBL4811360;CHEMBL5527828,CHEMBL5527829,CHEMBL4811216;CHEMBL5523771,CHEMBL5523771,2,1
SmHDAC8::LOPNSVKBMZZEHH-BJMVGYQFSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),LOPNSVKBMZZEHH-BJMVGYQFSA-N,CHEMBL4872913,O=C(/C=C/c1ccccc1Sc1ccc(Cl)cc1)NO,LOPNSVKBMZZEHH-BJMVGYQFSA-N,c1ccc(Sc2ccccc2)cc1,1.0,0.0,0,10.0,exact_core_consistent,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1,IC50,IC50,B,B,,,CHEMBL4811364,CHEMBL4811367,CHEMBL4811216,CHEMBL4811216,1,1
SmHDAC8::LQRFJNODHXVTSC-SANMLTNESA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),LQRFJNODHXVTSC-SANMLTNESA-N,CHEMBL4070647,CC(C)(C)Oc1ccc(C[C@@H]2N=C(c3ccccc3)c3ccccc3N(CCCCC(=O)NO)C2=O)cc1,LQRFJNODHXVTSC-SANMLTNESA-N,O=C1Nc2ccccc2C(c2ccccc2)=NC1Cc1ccccc1,0.3203883495145631,-0.49432328482728477,0,10.0,exact_core_consistent,1,1,0.3203883495145631,0.3203883495145631,0.3203883495145631,-0.49432328482728477,-0.49432328482728477,-0.49432328482728477,1,0,1,IC50,IC50,B,B,,,CHEMBL4014727,CHEMBL3998873,CHEMBL4014283,CHEMBL3997794,1,1
SmHDAC8::LRBWQUWEXVLAOU-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),LRBWQUWEXVLAOU-UHFFFAOYSA-N,CHEMBL3797939,O=C(NO)c1ccc(Cl)c(NC(=O)c2cccc(OCc3ccccc3)c2)c1,LRBWQUWEXVLAOU-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cccc(OCc2ccccc2)c1,0.5654850106559216,-0.2475789024550556,0,10.0,exact_core_consistent,1,2,0.5639285620347722,0.5654850106559216,0.5670457550912457,-0.24877590856830792,-0.2475789024550556,-0.24638189634180324,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::MJRWUUWLMYRYBZ-HIXSDJFHSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),MJRWUUWLMYRYBZ-HIXSDJFHSA-N,CHEMBL4877604,COc1ccc(C(=O)NO)cc1NC(=O)c1cccc2c1/C(=N/O)c1ccccc1-2,MJRWUUWLMYRYBZ-HIXSDJFHSA-N,N=C1c2ccccc2-c2cccc(C(=O)Nc3ccccc3)c21,0.46875,-0.32905871926422475,0,10.0,exact_core_consistent,1,1,0.46875,0.46875,0.46875,-0.32905871926422475,-0.32905871926422475,-0.32905871926422475,1,0,1,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
SmHDAC8::MOIOAZADOXUMQW-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),MOIOAZADOXUMQW-UHFFFAOYSA-N,CHEMBL4850958,COc1ccc(C(=O)NO)cc1C(=O)Nc1cccc(Cl)c1,MOIOAZADOXUMQW-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,1.6470588235294117,0.21670910996394527,0,10.0,exact_core_consistent,1,1,1.6470588235294117,1.6470588235294117,1.6470588235294117,0.21670910996394527,0.21670910996394527,0.21670910996394527,1,0,1,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
SmHDAC8::MOWGJAJBYVLPPG-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),MOWGJAJBYVLPPG-UHFFFAOYSA-N,CHEMBL4855490,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(-c2ccccc2)cc1Cl,MOWGJAJBYVLPPG-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccc(-c2ccccc2)cc1,11.000000000000002,1.0413926851582251,1,10.0,exact_core_consistent,1,1,11.0,11.000000000000002,11.0,1.0413926851582251,1.0413926851582251,1.0413926851582251,1,1,0,IC50,IC50,B,B,,,CHEMBL4843953,CHEMBL4843955,CHEMBL4842354,CHEMBL4842354,1,1
