molecule_chembl_id,smiles,experimental_ic50_nM,SmTGR_dock_energy,HsTrxR1_dock_energy,delta_energy,computed_selectivity_factor,selectivity_class
CHEMBL1337170,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)C=C2,2010.0,-5.984,-5.811,0.17300000000000004,1.3394106847524045,SLIGHTLY-PARASITE
CHEMBL1439384,COc1ccc([N+](=O)[O-])c(S(=O)(=O)c2ccc(Cl)cc2)n1,60.0,-6.455,-6.361,0.0940000000000003,1.1720844956068637,SLIGHTLY-PARASITE
CHEMBL565242,N#Cc1c(-c2ccco2)no[n+]1[O-],2800.0,-5.436,-5.385,0.051000000000000156,1.0899683385841266,SLIGHTLY-PARASITE
CHEMBL570130,N#Cc1c(-c2cccc(Cl)c2)no[n+]1[O-],3500.0,-6.468,-6.433,0.03500000000000014,1.0609042617908298,SLIGHTLY-PARASITE
CHEMBL574579,N#Cc1c(-c2cccc(Br)c2)no[n+]1[O-],2800.0,-6.442,-6.432,0.009999999999999787,1.0170353666124319,SLIGHTLY-PARASITE
CHEMBL567637,O=Cc1c(-c2ccccc2)no[n+]1[O-],110.0,-5.653,-5.662,-0.009000000000000341,0.9849122749874021,SLIGHTLY-HUMAN
CHEMBL583779,COc1ccccc1-c1no[n+]([O-])c1C#N,7900.0,-5.955,-5.984,-0.028999999999999915,0.9521939970980102,SLIGHTLY-HUMAN
CHEMBL336467,N#Cc1c(-c2ccccc2)no[n+]1[O-],5000.0,-5.827,-5.926,-0.0990000000000002,0.8460052364568773,SLIGHTLY-HUMAN
CHEMBL583780,N#Cc1c(-c2cccs2)no[n+]1[O-],3500.0,-5.309,-5.427,-0.11799999999999944,0.8192841364655589,SLIGHTLY-HUMAN
CHEMBL569188,COc1cccc(-c2no[n+]([O-])c2C#N)c1,8900.0,-6.101,-6.221,-0.1200000000000001,0.8165209548178582,SLIGHTLY-HUMAN
CHEMBL4871407,CCNc1sc(Br)c([N+](=O)[O-])c1[N+](=O)[O-],3150.0,-5.05,-5.19,-0.14000000000000057,0.7893965497508332,SLIGHTLY-HUMAN
CHEMBL576265,N#Cc1c(C(=O)c2cccs2)no[n+]1[O-],63.0,-5.647,-5.815,-0.16800000000000015,0.7529294226587905,SLIGHTLY-HUMAN
CHEMBL578810,COc1ccc(-c2no[n+]([O-])c2C#N)cc1,10000.0,-5.903,-6.171,-0.2680000000000007,0.6359071590063586,SLIGHTLY-HUMAN
CHEMBL576118,N#Cc1c(-c2ccc(F)cc2)no[n+]1[O-],7900.0,-5.974,-6.251,-0.27700000000000014,0.6263127666577293,SLIGHTLY-HUMAN
CHEMBL574577,O=C(O)c1c(-c2ccccc2)no[n+]1[O-],630.0,-5.885,-6.206,-0.3210000000000006,0.5814503288178327,SLIGHTLY-HUMAN
CHEMBL585190,N#Cc1c(-c2ccc(F)c(Br)c2)no[n+]1[O-],2800.0,-6.131,-6.484,-0.35299999999999976,0.5508549331109432,SLIGHTLY-HUMAN
CHEMBL571936,N#Cc1c(-c2cccc(O)c2)no[n+]1[O-],7100.0,-6.01,-6.374,-0.3639999999999999,0.5407139598264443,SLIGHTLY-HUMAN
CHEMBL1449349,O=C(CSc1ccccn1)Nc1nonc1[N+](=O)[O-],7080.0,-6.1,-6.467,-0.367,0.5379807864197963,SLIGHTLY-HUMAN
CHEMBL567408,N#Cc1c(-c2ccc(Cl)cc2)no[n+]1[O-],4000.0,-5.799,-6.271,-0.47199999999999953,0.45054500928700053,SLIGHTLY-HUMAN
CHEMBL570345,O=C(c1cccs1)c1no[n+]([O-])c1C(=O)c1cccs1,40.0,-5.985,-6.498,-0.5129999999999999,0.4203977239291521,SLIGHTLY-HUMAN
CHEMBL1325877,COc1ccc(C(=O)c2no[n+]([O-])c2C(=O)c2ccc(OC)cc2)cc1,100.0,-6.85,-7.414,-0.5640000000000001,0.38569718866811353,SLIGHTLY-HUMAN
CHEMBL585368,N#Cc1c(-c2ccc(Br)cc2)no[n+]1[O-],3500.0,-5.685,-6.29,-0.6050000000000004,0.3598890608033776,SLIGHTLY-HUMAN
CHEMBL571710,N#Cc1c(-c2cccc(C(F)(F)F)c2)no[n+]1[O-],2500.0,-7.022,-7.629,-0.6069999999999993,0.35867527085706025,SLIGHTLY-HUMAN
CHEMBL5618241,C#CCN(Cc1nc(-c2ccccc2)oc1C)C1C[C@@H]2C[C@H]([C@H]1C)C2(C)C,2500.0,-7.063,-7.801,-0.7380000000000004,0.28747435531670074,SLIGHTLY-HUMAN
CHEMBL570346,N#Cc1c(-c2cccc([N+](=O)[O-])c2)no[n+]1[O-],2200.0,-5.889,-6.68,-0.7909999999999995,0.2628560727115811,SLIGHTLY-HUMAN
CHEMBL568961,COc1cc(-c2no[n+]([O-])c2C#N)cc(OC)c1OC,8900.0,-5.792,-6.706,-0.9140000000000006,0.21354260334886008,SLIGHTLY-HUMAN
CHEMBL3322286,COC(=O)c1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],148.0,-7.517,-8.487,-0.9699999999999998,0.1942686054218677,SLIGHTLY-HUMAN
CHEMBL571712,N#Cc1c(-c2ccc(C(F)(F)F)cc2)no[n+]1[O-],7100.0,-6.18,-7.158,-0.9780000000000006,0.19166101255002382,SLIGHTLY-HUMAN
CHEMBL1428415,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,210.0,-7.232,-8.268,-1.0360000000000005,0.17377394345044497,SLIGHTLY-HUMAN
CHEMBL570121,N#Cc1c(-c2cc(F)cc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],480.0,-7.316,-8.413,-1.0970000000000004,0.156759806418789,SLIGHTLY-HUMAN
CHEMBL4852477,COC(=O)CS(=O)(=O)c1nnc(C(Cc2ccccc2)NC(=O)OC(C)(C)C)o1,330.0,-6.249,-7.355,-1.1060000000000008,0.15439465756651424,SLIGHTLY-HUMAN
CHEMBL3322356,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccc(OCCCOc4no[n+]([O-])c4S(=O)(=O)c4ccccc4)cc3C2C1,8500.0,-8.54,-9.669,-1.1290000000000013,0.14851124575829427,SLIGHTLY-HUMAN
CHEMBL576624,N#Cc1c(-c2csc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],350.0,-6.379,-7.557,-1.1780000000000008,0.1367138990485019,SLIGHTLY-HUMAN
CHEMBL575013,N#Cc1c(-c2cccc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],3500.0,-7.047,-8.277,-1.2299999999999995,0.12521754395428208,SLIGHTLY-HUMAN
CHEMBL3322287,NC(=O)c1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],10.0,-7.494,-8.781,-1.2870000000000008,0.11372335543916735,SLIGHTLY-HUMAN
CHEMBL3322288,N#Cc1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],316.0,-7.641,-9.045,-1.404,0.0933292587558179,HUMAN-SELECTIVE
CHEMBL569420,N#Cc1c(-c2ccc(-c3no[n+]([O-])c3C#N)s2)no[n+]1[O-],400.0,-6.219,-7.639,-1.42,0.09084062798782318,HUMAN-SELECTIVE
CHEMBL582970,N#Cc1c(-c2ccc(-c3no[n+]([O-])c3C#N)cc2)no[n+]1[O-],1000.0,-6.302,-7.947,-1.6450000000000005,0.06211820255184031,HUMAN-SELECTIVE
CHEMBL4858362,O=c1c(Cl)c(-n2cc(CO)nn2)cnn1-c1ccccc1,2840.0,-5.959,-7.617,-1.6580000000000004,0.06076898862298051,HUMAN-SELECTIVE
CHEMBL4846043,CCOC(=O)C(C(=O)OCC)C1=C(Br)C2=NOC3c4ccccc4C(=O)C(=C1)C23,140.0,-6.585,-8.291,-1.7060000000000004,0.05603623428092652,HUMAN-SELECTIVE
CHEMBL3322292,NC(=O)c1c(COc2ccc3c(c2)C2CN(C(=O)C4CCCCC4)CC(=O)N2CC3)no[n+]1[O-],83.0,-7.718,-9.855,-2.1370000000000005,0.027057330904619207,HUMAN-SELECTIVE
CHEMBL3322293,N#Cc1c(COc2ccc3c(c2)C2CN(C(=O)C4CCCCC4)CC(=O)N2CC3)no[n+]1[O-],350.0,-7.549,-10.028,-2.479,0.015184197956837946,HUMAN-SELECTIVE
CHEMBL1486739,COc1ccc(C(Nc2cc(C)ccn2)c2ccc3ccc(C)nc3c2O)cc1,130.0,-6.985,-9.508,-2.522999999999999,0.014096562236712873,HUMAN-SELECTIVE
